id,user_id,name,roaster_shop_id,roast_level,roast_date,origin_country,farm,variety,process,purchase_shop_id,purchase_date,price,initial_weight_g,current_weight_g,notes,archived,tags,liking,aroma,sourness,bitterness,sweetness,body,aftertaste,tasting_comment,tasting_photos,tasted_at,created_at,updated_at
8bc8383a-ee2b-45fa-99df-d7e6e0136701,48f186a3-e094-416f-86ab-5d5c016c002a,TOKYO BLEND,812b7f95-e7f8-4731-866b-5f6e0ff0d920,,2025-08-09,"エチオピア, グアテマラ, コスタリカ",,,,812b7f95-e7f8-4731-866b-5f6e0ff0d920,2025-08-09,,200,200,,true,[],6,4,7,4,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:33.569317+00
8c5f7c79-4398-4ed7-ad4f-0e08a02a8f89,48f186a3-e094-416f-86ab-5d5c016c002a,Café Crema（カフェ・クレマ）,7c560c18-6216-4769-af39-31b2a9bf33c4,Medium,2024-07-04,,,アラビカ種,,,,,250,250,タイのお土産,true,[],6,6,4,5,3,6,7,バランスが良く飲みやすかった,,2025-09-20 11:47:15.109+00,2025-09-20 11:45:53.190013+00,2025-09-20 11:47:18.901483+00
8d4c6f99-5e2f-48b8-a099-98d647fb6e22,48f186a3-e094-416f-86ab-5d5c016c002a,COLOMBIA QUINDIO CAMPO HERMOSO,332e91ac-377c-4f43-9ea7-586a653777ab,,2025-09-12,コロンビア,,,,332e91ac-377c-4f43-9ea7-586a653777ab,2025-09-12,,200,200,シナモンの香りがするコーヒーで私好みで美味しかったアナエロピック製法でシナモンの香りをつけているとのこと,true,[],9,10,7,3,,,,シナモンの香りがするコーヒーで私好みで美味しかったアナエロピック製法でシナモンの香りをつけているとのこと,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:26.501973+00
8f3a656d-f475-49b8-914b-91575eee63b4,48f186a3-e094-416f-86ab-5d5c016c002a,ケニア(VERVE),bf96e4a2-1313-45a7-8625-3a82ed6cd0e5,,2025-08-02,ケニア,,,,bf96e4a2-1313-45a7-8625-3a82ed6cd0e5,2025-08-02,,200,200,,true,[],6,5,6,4,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:38.353689+00
90fb0ecf-6da5-4fa9-8f1a-cde270a6ff34,48f186a3-e094-416f-86ab-5d5c016c002a,エーデルワイス,99a3d17f-6d89-4e0b-bbc3-219d5db189f6,,2025-07-28,タンザニア,,,,99a3d17f-6d89-4e0b-bbc3-219d5db189f6,2025-07-28,,200,200,,true,[],6,5,7,6,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:40.588692+00
98d0ce4c-29fd-4aea-bb2e-768deaa31866,48f186a3-e094-416f-86ab-5d5c016c002a,THAT COFFEE STAND ORIGINAL BLEND,a9883a0a-6629-4801-938b-dce694a52624,,2025-06-26,,,,,a9883a0a-6629-4801-938b-dce694a52624,2025-06-26,,200,200,,true,[],4,5,1,9,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:44.152726+00
9eb1a9ff-3276-4640-a1ef-f2c12c749f5b,48f186a3-e094-416f-86ab-5d5c016c002a,ウエノブレンド,95fecc36-58dc-4a21-b93f-e9760448ca5a,,2025-07-17,,,,,95fecc36-58dc-4a21-b93f-e9760448ca5a,2025-07-17,,200,200,,true,[],5,3,2,8,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:50.435883+00
9ebf94b0-8479-445b-a5b1-305fa188ccaa,48f186a3-e094-416f-86ab-5d5c016c002a,ドミニカ(ARiSE COFFEE ROASTERS),817276cf-4a43-41f7-ae62-322e3c1f03e4,,2025-08-17,ドミニカ,,,,817276cf-4a43-41f7-ae62-322e3c1f03e4,2025-08-17,,200,200,,true,[],7,8,5,4,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:25.254528+00
a019b9c1-0669-4c75-aa37-25b48808036e,48f186a3-e094-416f-86ab-5d5c016c002a,重陽の季節,ee0c03fb-e61a-4126-975e-a493035c5b40,,2025-07-10,,,,,ee0c03fb-e61a-4126-975e-a493035c5b40,2025-07-10,,200,200,,true,[],5,5,5,5,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:54.821269+00
a1769e4a-8db5-482a-b7a6-fdbe66cf499a,48f186a3-e094-416f-86ab-5d5c016c002a,Harajuku Blend,f7bf5e35-767f-4ab8-ac41-fcb884557b5c,,2025-08-10,,,,,f7bf5e35-767f-4ab8-ac41-fcb884557b5c,2025-08-10,,200,200,,true,[],6,4,3,7,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:32.956056+00
a473043e-6315-438c-b395-88e28689a01f,48f186a3-e094-416f-86ab-5d5c016c002a,잘 되어가시나(EVERYTHING GOOD),b54a952a-b27f-478a-9a50-e398b6a9787e,,2025-09-08,,,,,b54a952a-b27f-478a-9a50-e398b6a9787e,2025-09-08,,200,200,,true,[],9,9,3,3,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:05.011006+00
abdcf6ae-9d1e-4258-ab8e-6084840341ce,48f186a3-e094-416f-86ab-5d5c016c002a,ウガンダ オーガニック/フェアトレード,ad04cdd7-8f04-48b8-af77-b835108ac29c,,2025-08-11,ウガンダ,,,,ad04cdd7-8f04-48b8-af77-b835108ac29c,2025-08-11,,200,200,,true,[],6,6,7,5,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:31.93688+00
bd29b641-4a2a-4b68-9846-32d2bcd23068,48f186a3-e094-416f-86ab-5d5c016c002a,クリスタルマウンテン,77142836-e252-491b-bedf-5214c5bd506f,,2025-07-21,,,,,77142836-e252-491b-bedf-5214c5bd506f,2025-07-21,,200,200,,true,[],5,5,7,5,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:46.510546+00
c60f5f2d-e1a4-41a1-b212-a48e02131d8c,48f186a3-e094-416f-86ab-5d5c016c002a,ケニアAA,99a3d17f-6d89-4e0b-bbc3-219d5db189f6,,2025-08-18,ケニア,,,,99a3d17f-6d89-4e0b-bbc3-219d5db189f6,2025-08-18,,200,200,,true,[],7,5,7,4,,,,,[],2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00,2025-09-13 15:39:24.456545+00
