id,user_id,name,type,url,address,memo,created_at,updated_at
7ffb021e-1d00-4f12-ae2d-1abeeb483101,48f186a3-e094-416f-86ab-5d5c016c002a,THE COFFEESHOP,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
812b7f95-e7f8-4731-866b-5f6e0ff0d920,48f186a3-e094-416f-86ab-5d5c016c002a,ROKUMEI COFFEE,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
812cf6cc-48ce-48ad-acee-8968eeeac878,48f186a3-e094-416f-86ab-5d5c016c002a,Dallmayr,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
817276cf-4a43-41f7-ae62-322e3c1f03e4,48f186a3-e094-416f-86ab-5d5c016c002a,ARiSE COFFEE ROASTERS,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
847c26f1-c6f7-4531-9c13-06ddae4d351e,48f186a3-e094-416f-86ab-5d5c016c002a,江古田珈琲焙煎所,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
8679264d-afdf-4998-b4ef-3ed134fa3e7b,48f186a3-e094-416f-86ab-5d5c016c002a,COVERT COFFEE,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
8e4d73a7-cb31-49b3-9986-74adbdd17edb,48f186a3-e094-416f-86ab-5d5c016c002a,青海珈琲,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
90c4daac-b6f1-4c10-9313-51db0648c274,48f186a3-e094-416f-86ab-5d5c016c002a,ALL SEASONS COFFEE,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
92ea8088-b914-4a65-9a1a-387125943d0d,48f186a3-e094-416f-86ab-5d5c016c002a,ARABICA COFFEE,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
93cfdb69-7d70-483f-a9e5-e582d9e9b3e2,48f186a3-e094-416f-86ab-5d5c016c002a,珈琲焙煎工房　FLUTTER,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
95fecc36-58dc-4a21-b93f-e9760448ca5a,48f186a3-e094-416f-86ab-5d5c016c002a,Social Good Roasters,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
99a3d17f-6d89-4e0b-bbc3-219d5db189f6,48f186a3-e094-416f-86ab-5d5c016c002a,豆工房,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
9fa16d1a-a0db-4df6-b25d-1cf8860eac2f,48f186a3-e094-416f-86ab-5d5c016c002a,DANTE COFFEE&COCKTAIL,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
a9883a0a-6629-4801-938b-dce694a52624,48f186a3-e094-416f-86ab-5d5c016c002a,THAT COFFEE STAND,roaster,,,Notionデータからインポート,2025-09-13 15:38:07.7782+00,2025-09-13 15:38:07.7782+00
